"eta","max_depth","nrounds","mae"
0.01,8,250,1771.03922404075
0.01,8,500,1299.75247507951
0.01,8,750,1273.97381322169
0.01,8,1000,1267.69359032166
0.01,9,250,1765.43867099988
0.01,9,500,1294.45008992654
0.01,9,750,1271.04985318173
0.01,9,1000,1266.56712556995
0.01,10,250,1761.59388661654
0.01,10,500,1290.8166443987
0.01,10,750,1269.57811251957
0.01,10,1000,1265.88277607577
0.01,11,250,1759.45693140322
0.01,11,500,1289.75568743843
0.01,11,750,1270.43745219661
0.01,11,1000,1267.50138550561
0.01,12,250,1758.79534865375
0.01,12,500,1289.8681011368
0.01,12,750,1271.35202837192
0.01,12,1000,1269.18059569303
0.025,8,250,1280.90720791159
0.025,8,500,1266.28862137845
0.025,8,750,1264.4366711262
0.025,8,1000,1264.36481977242
0.025,9,250,1277.64387894391
0.025,9,500,1265.69590572394
0.025,9,750,1264.97676430987
0.025,9,1000,1265.91277779139
0.025,10,250,1277.1761486163
0.025,10,500,1267.94691664658
0.025,10,750,1268.39916100835
0.025,10,1000,1270.66720019441
0.025,11,250,1275.61508628227
0.025,11,500,1269.77291454535
0.025,11,750,1270.7933172093
0.025,11,1000,1274.38192478674
0.025,12,250,1277.50528264048
0.025,12,500,1272.91831844799
0.025,12,750,1276.84709805298
0.025,12,1000,1282.43551663903
0.05,8,250,1266.13523367128
0.05,8,500,1264.31729875163
0.05,8,750,1266.32550021096
0.05,8,1000,1270.86921612029
0.05,9,250,1269.06117397221
0.05,9,500,1269.45587624197
0.05,9,750,1274.8660294233
0.05,9,1000,1279.08401074603
0.05,10,250,1269.47677118579
0.05,10,500,1274.42447675612
0.05,10,750,1280.10117660141
0.05,10,1000,1287.35683681487
0.05,11,250,1272.45597519312
0.05,11,500,1280.31416347542
0.05,11,750,1291.4719547755
0.05,11,1000,1301.14967901641
0.05,12,250,1276.2870731818
0.05,12,500,1287.84064736982
0.05,12,750,1300.27194481833
0.05,12,1000,1310.8283298093
