"eta","max_depth","nrounds","subsample","colsample_bytree","colsample_bylevel","importance.1","gain.1","importance.2","gain.2","importance.3","gain.3","mae"
0.01,9,2000,1,1,1,"cat80_2",0.339250828455848,"cat12",0.0638801105238132,"cont14",0.0474981458205139,1131.1124011366
0.02,8,1000,1,1,1,"cat80_2",0.35218666635199,"cat12",0.0658455594536002,"cont14",0.0454404171549387,1131.72139680802
0.03,8,750,1,1,1,"cat80_2",0.348352660744218,"cat12",0.0648064584379247,"cont14",0.0462993161653751,1131.80543405527
0.02,9,750,1,1,1,"cat80_2",0.348662919889148,"cat12",0.0656018722216896,"cont14",0.0454993917935385,1131.86259936247
0.02,9,1000,1,1,1,"cat80_2",0.338292135511986,"cat12",0.0637638117037333,"cont14",0.0476663736645857,1131.98837059553
0.01,8,2000,1,1,1,"cat80_2",0.351876964023502,"cat12",0.0657195360765445,"cont14",0.0455943780455834,1132.02061067677
0.03,8,1000,1,1,1,"cat80_2",0.337880832775182,"cat12",0.0629741124898133,"cont14",0.048505604572769,1132.16806446959
0.03,9,500,1,1,1,"cat80_2",0.348227626539688,"cat12",0.0655161403289164,"cont14",0.0457099619041639,1132.30655862027
0.05,8,500,1,1,1,"cat80_2",0.341852953839714,"cat12",0.0644478873061646,"cont14",0.0474386013744156,1132.52096994132
0.03,9,750,1,1,1,"cat80_2",0.332929097205164,"cat12",0.0627979438479145,"cont14",0.0488109559853138,1132.63395362566
0.02,10,750,1,1,1,"cat80_2",0.335162052461071,"cat12",0.0638484149333861,"cont14",0.0481201747837403,1132.7899017396
0.01,10,2000,1,1,1,"cat80_2",0.322929385159149,"cat12",0.0617659739626199,"cont14",0.0504652465577172,1132.89861128828
0.02,8,750,1,1,1,"cat80_2",0.361183627400266,"cat12",0.0674280113745755,"cat79_2",0.0463943460765434,1132.96345282413
0.02,10,1000,1,1,1,"cat80_2",0.324359268971746,"cat12",0.06192667879548,"cont14",0.0504893865278839,1133.01226655312
0.02,8,2000,1,1,1,"cat80_2",0.326949538066702,"cat12",0.0614368479121362,"cont14",0.0511458566758675,1133.18056943899
0.05,10,250,1,1,1,"cat80_2",0.341465009984369,"cat12",0.0649519148340676,"cont14",0.0464703362040822,1133.72905398425
0.03,8,500,1,1,1,"cat80_2",0.36145959337851,"cat12",0.0671049850273689,"cat79_2",0.0461781573639177,1133.88121171233
0.03,10,500,1,1,1,"cat80_2",0.333423216159369,"cat12",0.0633285363442925,"cont14",0.0484308001882271,1133.96302642682
0.03,9,1000,1,1,1,"cat80_2",0.321377397948475,"cat12",0.0607406407828809,"cont14",0.0515988558867657,1134.01880763918
0.01,10,1000,1,1,1,"cat80_2",0.351436491734925,"cat12",0.0668689513823687,"cont14",0.0446045897752105,1134.21651305641
0.05,9,500,1,1,1,"cat80_2",0.327224885728287,"cat12",0.0620281586002452,"cont14",0.0501111871282251,1134.36414838521
0.02,9,500,1,1,1,"cat80_2",0.363812276369272,"cat12",0.0682642529257562,"cat79_2",0.0456988767622199,1134.40187092951
0.02,10,500,1,1,1,"cat80_2",0.351858920151482,"cat12",0.0668170983471768,"cont14",0.0448539270987953,1134.46497257044
0.01,9,1000,1,1,1,"cat80_2",0.364209534147643,"cat12",0.0682715267743605,"cat79_2",0.0457718013783582,1134.68587670019
0.05,9,250,1,1,1,"cat80_2",0.35399350376855,"cat12",0.0668388114956998,"cat79_2",0.0447442009625272,1134.72518303261
0.05,10,500,1,1,1,"cat80_2",0.313842784319379,"cat12",0.0599827103554127,"cont14",0.0531374147625461,1134.93785608398
0.05,8,750,1,1,1,"cat80_2",0.327456691902667,"cat12",0.0618986143412293,"cont14",0.050808468209291,1135.06758063395
0.03,10,750,1,1,1,"cat80_2",0.318732448671794,"cat12",0.0607183410079205,"cont14",0.0518722514313884,1135.42691834496
0.05,8,250,1,1,1,"cat80_2",0.36616093481257,"cat12",0.0687683573043494,"cat79_2",0.0467646646740813,1135.53617717172
0.02,9,2000,1,1,1,"cat80_2",0.310018263373993,"cat12",0.0587335877185279,"cont14",0.0544426790517896,1136.05645403061
0.02,11,750,1,1,1,"cat80_2",0.32099305350591,"cat12",0.0619189051259235,"cont14",0.0503105091867149,1136.20826740245
0.05,9,750,1,1,1,"cat80_2",0.309221154689527,"cat12",0.0588250649941305,"cont14",0.0547849398030359,1136.47044348903
0.03,8,2000,1,1,1,"cat80_2",0.30801831539809,"cat12",0.057742430730556,"cont14",0.0559878017743541,1136.60378948977
0.03,11,500,1,1,1,"cat80_2",0.320722008380345,"cat12",0.0617893269206926,"cont14",0.0502268724666864,1136.61339800905
0.03,10,1000,1,1,1,"cat80_2",0.306763407529608,"cat12",0.0585774177536893,"cont14",0.0548854350932721,1136.65207085557
0.05,11,250,1,1,1,"cat80_2",0.327328827688917,"cat12",0.0626769557182776,"cont14",0.0486558953331892,1136.86202606912
0.02,11,1000,1,1,1,"cat80_2",0.309119247535614,"cat12",0.0597430124422487,"cont14",0.0531964164164972,1137.06966674906
0.05,8,1000,1,1,1,"cat80_2",0.31572774485554,"cat12",0.0597965942247388,"cont14",0.0538753520166909,1137.36944932389
0.01,11,2000,1,1,1,"cat80_2",0.308170175331026,"cat12",0.0594420171582868,"cont14",0.0533787897991269,1137.37941410815
0.01,11,1000,1,1,1,"cat80_2",0.338393257283792,"cat12",0.0649451043876808,"cont14",0.0465210486844475,1137.47437035881
0.02,8,500,1,1,1,"cat80_2",0.374662440309606,"cat12",0.0697981726559233,"cat79_2",0.0479129044498914,1137.56255819336
0.02,11,500,1,1,1,"cat80_2",0.338423950920943,"cat12",0.0650794146691017,"cont14",0.0465440146118405,1137.57839622859
0.02,10,2000,1,1,1,"cat80_2",0.292897298112908,"cont14",0.0586935449243054,"cat12",0.0562548298310505,1137.81896472171
0.01,8,1000,1,1,1,"cat80_2",0.37471942797637,"cat12",0.0696914955742934,"cat79_2",0.0477797200991824,1138.08798671379
0.05,10,750,1,1,1,"cat80_2",0.295009494849279,"cont14",0.0583586219240189,"cat12",0.0565488772695102,1138.5370600347
0.02,12,750,1,1,1,"cat80_2",0.308584714155623,"cat12",0.0599016722615827,"cont14",0.0525534951426642,1138.79285070011
0.03,11,750,1,1,1,"cat80_2",0.303254604936901,"cat12",0.0586235117380865,"cont14",0.0544986397919736,1138.99567029901
0.01,10,750,1,1,1,"cat80_2",0.363993692774806,"cat12",0.0691605960890999,"cat79_2",0.0449386029168302,1139.0676800572
0.02,12,500,1,1,1,"cat80_2",0.326481729978948,"cat12",0.0631776478248225,"cont14",0.0483832702384588,1139.29182920237
0.02,12,1000,1,1,1,"cat80_2",0.296242666344186,"cat12",0.0576312498098834,"cont14",0.0557782178706124,1139.48844306213
0.03,9,250,1,1,1,"cat80_2",0.374321638711895,"cat12",0.0701410714231335,"cat79_2",0.0469432747238071,1139.84169986931
0.05,12,250,1,1,1,"cat80_2",0.313725107094345,"cat12",0.0607515879760252,"cont14",0.051533133242935,1139.97477556452
0.05,9,1000,1,1,1,"cat80_2",0.296938499769572,"cont14",0.0584063496024556,"cat12",0.0565785957625495,1140.03735094329
0.03,10,250,1,1,1,"cat80_2",0.363767177119169,"cat12",0.0687596719540774,"cat79_2",0.0447826862876305,1140.47011299034
0.01,12,2000,1,1,1,"cat80_2",0.297813172812537,"cat12",0.0578249208996781,"cont14",0.0550251810802219,1140.51153438782
0.05,11,500,1,1,1,"cat80_2",0.298032278825414,"cat12",0.0573730201920531,"cont14",0.0560002635818946,1140.67113566092
0.01,12,1000,1,1,1,"cat80_2",0.32573520255112,"cat12",0.0629621735664195,"cont14",0.0483657107007952,1140.8088531101
0.03,12,500,1,1,1,"cat80_2",0.305587152204346,"cat12",0.0594919510015581,"cont14",0.0530468872275351,1140.85213318677
0.01,9,750,1,1,1,"cat80_2",0.375279492450215,"cat12",0.0702711839501775,"cat79_2",0.0469730012165193,1140.86206858519
0.03,11,1000,1,1,1,"cat80_2",0.291085185273372,"cont14",0.0580151117580466,"cat12",0.0563860785309333,1140.94363049253
0.03,9,2000,1,1,1,"cat80_2",0.291072840346695,"cont14",0.0596420624031992,"cat12",0.0553031791309546,1141.09979081542
0.01,11,750,1,1,1,"cat80_2",0.351503191113086,"cat12",0.067341543860328,"cont14",0.0442490280427072,1141.97657432055
0.05,10,1000,1,1,1,"cat80_2",0.281950311861143,"cont14",0.0623065682354473,"cat12",0.0541746626817179,1142.32523550193
0.03,11,250,1,1,1,"cat80_2",0.352085329851683,"cat12",0.0675129931425381,"cont14",0.0440368613767888,1142.46460024941
0.02,11,2000,1,1,1,"cat80_2",0.279066272966478,"cont14",0.0613973630092296,"cat12",0.0542595762101527,1143.49829499932
0.05,12,500,1,1,1,"cat80_2",0.285267983447113,"cont14",0.0591787805132973,"cat12",0.0555179596031186,1143.56100848356
0.01,12,750,1,1,1,"cat80_2",0.340577746879515,"cat12",0.0656938052169643,"cont14",0.045486557297881,1144.20896705436
0.03,12,750,1,1,1,"cat80_2",0.287614264265959,"cont14",0.0580696707110047,"cat12",0.056177234820772,1144.42992506706
0.03,12,250,1,1,1,"cat80_2",0.339034780144577,"cat12",0.0656775469077657,"cont14",0.0459594626549284,1144.75637794539
0.01,8,750,1,1,1,"cat80_2",0.384667581303066,"cat12",0.0715140705187012,"cat79_2",0.0489246228515252,1145.07223698586
0.03,8,250,1,1,1,"cat80_2",0.384595318725769,"cat12",0.0711741885974769,"cat79_2",0.0487870345852329,1145.63515638879
0.03,10,2000,1,1,1,"cat80_2",0.275411525594109,"cont14",0.0637472895393651,"cat12",0.0529096978440116,1146.23222700768
0.05,11,750,1,1,1,"cat80_2",0.279807000036944,"cont14",0.0613511304944721,"cat12",0.0540951462407372,1146.4314622517
0.03,12,1000,1,1,1,"cat80_2",0.277729092917644,"cont14",0.060973676494234,"cat12",0.0543393730306161,1146.46057991392
0.02,12,2000,1,1,1,"cat80_2",0.269327340730646,"cont14",0.064202719603778,"cat12",0.0527052779003637,1146.91770455598
0.05,8,2000,1,1,1,"cat80_2",0.285152328313674,"cont14",0.0629321863809896,"cat12",0.0543278959192283,1146.92611561746
