"eta","max_depth","nrounds","mae"
0.01,8,250,1355.06875800659
0.01,8,500,1344.98276392941
0.01,8,750,1334.11455632543
0.01,8,1000,1328.45882285187
0.01,9,250,1343.51869084387
0.01,9,500,1338.88264818721
0.01,9,750,1329.69062235995
0.01,9,1000,1325.41523735863
0.01,10,250,1336.5453053482
0.01,10,500,1335.73678328936
0.01,10,750,1328.59699725619
0.01,10,1000,1324.9208893815
0.01,11,250,1328.85574279422
0.01,11,500,1331.64136254511
0.01,11,750,1326.46562870586
0.01,11,1000,1324.04566490695
0.01,12,250,1324.07093353628
0.01,12,500,1330.73167849149
0.01,12,750,1326.68235495011
0.01,12,1000,1325.23749096494
0.025,8,250,1338.46066542548
0.025,8,500,1326.22996384273
0.025,8,750,1323.44009623726
0.025,8,1000,1322.33491203063
0.025,9,250,1334.43732324132
0.025,9,500,1325.26747797464
0.025,9,750,1323.17061164636
0.025,9,1000,1323.62251746336
0.025,10,250,1331.67132616664
0.025,10,500,1324.12011630873
0.025,10,750,1324.02985942909
0.025,10,1000,1326.28931672831
0.025,11,250,1330.75136413688
0.025,11,500,1326.18714288386
0.025,11,750,1328.17020621038
0.025,11,1000,1331.84739308681
0.025,12,250,1329.15564428772
0.025,12,500,1327.53207896029
0.025,12,750,1331.68702749312
0.025,12,1000,1337.00067434497
0.05,8,250,1328.14138077732
0.05,8,500,1325.15233300538
0.05,8,750,1327.20962524314
0.05,8,1000,1330.24482511697
0.05,9,250,1326.98936306343
0.05,9,500,1326.68575553228
0.05,9,750,1331.25079628247
0.05,9,1000,1336.74236162328
0.05,10,250,1327.88458176946
0.05,10,500,1329.83234239684
0.05,10,750,1337.48293975399
0.05,10,1000,1346.73603016216
0.05,11,250,1330.38881754033
0.05,11,500,1336.56238942628
0.05,11,750,1346.25392872696
0.05,11,1000,1355.91556507774
0.05,12,250,1333.09671825445
0.05,12,500,1342.9145034446
0.05,12,750,1354.16595651931
0.05,12,1000,1363.94825722966
